FIPS,E_TOTPOP,E_AGE65,E_AGE17,acc_hospital_clinic,drop_hospital_clinic,droppct_hospital_clinic,acc_residential_elderly_disabled,drop_residential_elderly_disabled,droppct_residential_elderly_disabled,acc_childcare_center,drop_childcare_center,droppct_childcare_center,acc_school,drop_school,droppct_school
06001409000,5039.0,480.0,1511.0,0.012849004350015021,0.0,0.0,0.09029891278237974,0.0,0.0,0.08055732248017612,0.0,0.0,0.001649749869517121,0.0,0.0
06001409100,2532.0,243.0,623.0,0.012711106335217782,0.0,0.0,0.09099273603260813,0.0,0.0,0.09329813495712828,0.0,0.0,0.0017592121692321754,0.0,0.0
06001409200,3615.0,347.0,870.0,0.012656708512522897,0.0,0.0,0.09113162275785093,0.0,0.0,0.090334628065761,0.0,0.0,0.0017326551099257207,0.0,0.0
06001409300,5743.0,376.0,1600.0,0.012669394229529037,0.0,0.0,0.09123784955097242,0.0,0.0,0.09667458956574908,0.0,0.0,0.0018044497392269853,0.0,0.0
06001409400,4710.0,327.0,1165.0,0.012755795464158034,0.0,0.0,0.0912743934416428,0.0,0.0,0.10389616802057461,0.0,0.0,0.001864520631409729,0.0,0.0
06001409500,4291.0,312.0,1243.0,0.012805243996172824,0.0,0.0,0.09127414015618336,0.0,0.0,0.10978070080038832,0.0,0.0,0.0019239721694214523,0.0,0.0
06001409600,5139.0,518.0,1181.0,0.012731250828018988,0.0,0.0,0.09187445682998845,0.0,0.0,0.10351472610382728,0.0,0.0,0.0018919391449697888,0.0,0.0
06001409700,5240.0,375.0,1665.0,0.012682112576203155,0.0,0.0,0.09217153280385233,0.0,0.0,0.09774419260790576,0.0,0.0,0.0018596780661535198,0.0,0.0
06001409800,3511.0,384.0,603.0,0.012595434372176655,0.0,0.0,0.09236991476463415,0.0,0.0,0.08664389497510985,0.0,0.0,0.0017819323364109529,0.0,0.0
06001409900,3983.0,933.0,656.0,0.012378561430841295,0.0,0.0,0.09233776856388098,0.0,0.0,0.06902096938574205,0.0,0.0,0.0015911749406897205,0.0,0.0
06001410000,3177.0,1026.0,473.0,0.012304382368999531,0.0,0.0,0.09124851755784472,0.0,0.0,0.08359218236114015,0.0,0.0,0.001620096997655174,0.0,0.0
06001410100,3172.0,423.0,719.0,0.01253529326535767,0.0,0.0,0.0919005496639916,0.0,0.0,0.08778717273500276,0.0,0.0,0.0017619611396298754,0.0,0.0
06001410200,3238.0,381.0,821.0,0.01256423068744298,0.0,0.0,0.09180009952774788,0.0,0.0,0.09031993747253156,0.0,0.0,0.0017791265590985127,0.0,0.0
06001410300,3893.0,162.0,1206.0,0.012651061273338206,0.0,0.0,0.0917816854854692,0.0,0.0,0.09676569782973503,0.0,0.0,0.001830820277439102,0.0,0.0
06001410400,4687.0,569.0,965.0,0.012591683721645304,0.0,0.0,0.09155221589912345,0.0,0.0,0.09306519123602608,0.0,0.0,0.001787149063531651,0.0,0.0
06001410500,3081.0,317.0,877.0,0.013105213155336609,0.0,0.0,0.08301456686593095,0.0,0.0,0.18333050267683448,0.0,0.0,0.0017949495518503234,0.0,0.0
06001420100,2631.0,483.0,712.0,0.012651723266288715,0.0,0.0,0.08275025034679177,0.0,0.0,0.21516264811204355,0.0,0.0,0.0015767053912852807,0.0,0.0
06001420200,3275.0,474.0,691.0,0.012639253366177635,0.0,0.0,0.08203670529843225,0.0,0.0,0.21308652980815826,0.0,0.0,0.0015781339168281106,0.0,0.0
06001420301,2645.0,452.0,577.0,0.012617083998917191,0.0,0.0,0.08119680979324119,0.0,0.0,0.20697978797349795,0.0,0.0,0.001570452029748931,0.0,0.0
06001420302,2446.0,294.0,676.0,0.012611301107898933,0.0,0.0,0.08040743293156383,0.0,0.0,0.20249848833380557,0.0,0.0,0.0015391932333031306,0.0,0.0
06001420401,1333.0,112.0,413.0,0.012675458849206536,0.0,0.0,0.08159981573335323,0.0,0.0,0.22085060546578392,0.0,0.0,0.0015559848035469547,0.0,0.0
06001420402,1661.0,17.0,272.0,0.012624507258581507,0.0,0.0,0.08016061639543645,0.0,0.0,0.20288526903486584,0.0,0.0,0.0015133683554015473,0.0,0.0
06001420500,2548.0,311.0,670.0,0.012682328190523862,0.0,0.0,0.08220437589915967,0.0,0.0,0.2236821723368693,0.0,0.0,0.001564450663343392,0.0,0.0
06001420600,3488.0,627.0,873.0,0.012697983986097661,0.0,0.0,0.08308130795548313,0.0,0.0,0.22675322365167763,0.0,0.0,0.0015626478596113946,0.0,0.0
06001421100,2108.0,648.0,302.0,0.012654141738604241,0.0,0.0,0.08498858113178658,0.0,0.0,0.19327995845769375,0.0,0.0,0.0014751615509610771,0.0,0.0
06001421200,3557.0,1268.0,614.0,0.012663081749114721,0.0,0.0,0.0843156448997866,0.0,0.0,0.20572499999555663,0.0,0.0,0.001527675854425303,0.0,0.0
06001421300,4011.0,1202.0,723.0,0.012689470186693523,0.0,0.0,0.08370079769554191,0.0,0.0,0.2205169195271495,0.0,0.0,0.0015486478357652227,0.0,0.0
